sel,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,Time For Crime,Orion,rhode island indie,2019,2024‑10‑13,100,80,74,-7,7,96,202,0,3,35
2,Game Over.,Goreshit,chill breakcore,2013,2024‑10‑11,125,99,22,-1,13,4,335,0,18,25
3,That All about Your Fear,Chikoi The Maid,maidcore,2023,2024‑10‑11,92,92,51,-6,17,56,231,0,22,42
4,Sweet Dreams (Are Made of This) - 2005 Remaster,Eurythmics,dance rock,1983,2024‑10‑11,125,71,69,-7,12,88,217,23,3,83
5,Aura,Creo,speedrun,2019,2024‑10‑09,128,87,40,-5,11,21,233,0,9,33
6,PSYCHOGENESIS,KoruSe,aggressive phonk,2022,2024‑10‑09,170,92,56,-3,35,45,135,0,12,45
7,Faith and Suspicion,Autonon,breakcore,2011,2024‑10‑09,199,95,33,-7,16,32,307,1,32,3
8,Premonition,Mayo.,chill breakcore,2022,2024‑10‑09,169,93,23,-11,15,30,123,0,10,34
9,A Stranger I Remain - Maniac Agenda Mix,Free Dominguez,video game music,2013,2024‑10‑09,165,96,44,-5,13,43,146,0,5,56
10,N.W.H.,Vestron Vulture,synthwave,2017,2024‑10‑09,120,93,61,-7,20,16,230,0,6,32
11,El Mañana,Gorillaz,alternative hip hop,2005,2024‑10‑09,132,73,64,-8,47,61,235,0,3,62
12,Sonyc,.XEROX.,georgian rock,2023,2024‑10‑06,173,86,44,-10,10,52,233,1,4,13
13,SimpsonWave1995,FrankJavCee,vaportrap,2016,2024‑10‑06,170,38,66,-10,11,65,143,6,4,65
14,Судно (Борис Рижий),Molchat Doma,belarusian indie,2018,2024‑10‑06,160,75,48,-4,11,47,141,70,7,72
15,Люди Надоели,Molchat Doma,belarusian indie,2017,2024‑10‑06,160,53,41,-10,11,83,179,41,4,56
16,Monolith - Slowed + Reverb,22echos,,2024,2024‑10‑06,185,80,54,-10,13,66,400,0,4,28
17,Monolith,Twin Tribes,dark post-punk,2023,2024‑10‑06,142,95,51,-6,11,80,265,0,4,56
18,Blood Moon,Jfarrari,,2024,2024‑10‑06,91,91,46,-6,11,52,173,0,3,30
19,The Unknowing,Jfarrari,,2023,2024‑10‑06,180,88,48,-6,17,69,197,1,4,47
20,Hard Drive,St3phen,,2024,2024‑10‑06,140,86,53,-5,36,12,158,0,3,32
21,music i listen to walking the streets at night,FrankJavCee,vaportrap,2023,2024‑10‑03,128,55,94,-10,12,37,128,23,34,47
22,MOKA!,The Vanished People,,2023,2024‑09‑30,92,60,57,-16,25,76,152,7,8,50
23,DARE,Gorillaz,alternative hip hop,2005,2024‑09‑30,120,89,76,-6,30,97,245,2,4,76
24,RUN!,Sophus Alf Agerbæk-Larsen,video game music,2018,2024‑09‑30,130,62,59,-10,8,10,148,4,3,44
25,Eres para Mí (with Anita Tijoux),Julieta Venegas,cantautora mexicana,2006,2024‑09‑27,97,69,80,-6,28,90,193,7,8,72
26,Frente a Frente,Jeanette,,1981,2024‑09‑27,149,32,64,-12,31,36,192,73,3,62
27,Amante Bandido,Miguel Bosé,latin pop,1984,2024‑09‑27,131,69,75,-9,5,76,261,5,4,63
28,Devuélveme a mi chica,Hombres G,latin alternative,1985,2024‑09‑27,173,94,59,-5,19,39,194,2,9,77
29,A Dios Le Pido,Juanes,colombian pop,2002,2024‑09‑27,97,84,67,-4,10,94,205,7,6,72
30,Estos Celos,Vicente Fernández,mariachi,2007,2024‑09‑27,105,32,75,-8,14,39,190,69,5,71
31,Cómo Te Extraño Mi Amor,Leo Dan,bolero,1964,2024‑09‑27,122,50,74,-10,18,95,175,83,3,74
32,Ahora Te Puedes Marchar,Luis Miguel,bolero,1987,2024‑09‑27,133,88,78,-4,6,91,192,15,4,77
33,Versus,Heaven Pierce Her,video game music,2020,2024‑09‑20,120,93,44,-10,12,45,251,0,3,52
34,Silver Bullet,Casey Edwards,sound team,2019,2024‑09‑19,130,91,58,-7,15,57,191,0,3,45
35,Repeat,Acrnym,breakcore,2007,2024‑09‑18,110,99,62,-2,30,43,255,1,7,6
36,Bargain Hunt,Acrnym,breakcore,2007,2024‑09‑18,120,99,58,0,14,19,216,2,19,7
37,Tidal Blade,Acrnym,breakcore,2021,2024‑09‑18,110,93,68,-3,7,87,136,0,8,22
38,Gentleman,Venetian Snares,braindance,2008,2024‑09‑18,174,98,55,0,22,26,273,4,11,22
39,The Gift (From “Call of Duty: Black Ops 3 - Revelations”) - Theatrical Mix,Brian Tuey,video game music,2023,2024‑09‑18,130,71,52,-8,10,56,144,0,5,26
40,Extraction Point,Hans Zimmer,german soundtrack,2010,2024‑09‑17,83,67,45,-11,11,25,215,0,3,44
41,Watch out for Golem.,Golemm,chill breakcore,2021,2024‑09‑11,165,93,63,-5,6,51,105,0,17,39
42,Amethyst Sex Magick,Windowshopping,chill breakcore,2022,2024‑09‑11,160,78,54,-9,4,90,140,0,8,35
43,Hajnal2,Venetian Snares,braindance,2010,2024‑09‑11,116,98,39,-3,29,18,294,8,14,9
44,Devil Town,Mother Mother,canadian indie rock,2024,2024‑09‑11,172,83,60,-5,14,27,221,5,4,53
45,Servants of the Scourge,DM DOKURO,pixel,2020,2024‑09‑10,95,91,42,-4,33,8,350,0,4,41
46,Napalm,Pendulum,australian dance,2024,2024‑09‑10,174,84,54,-6,36,43,205,0,6,58
47,Spysandbreakers,Autodidactic Studios,speedrun,2024,2024‑09‑10,128,96,60,-11,37,96,221,1,3,16
48,strangers once again,Tanger,meme,2024,2024‑09‑10,114,72,58,-8,14,59,197,2,4,40
49,What even is b@#$%core?,hkmori,,2024,2024‑09‑10,135,100,46,0,25,22,142,1,13,28
50,El Muchacho de los Ojos Tristes,Jeanette,,1981,2024‑08‑30,113,41,69,-12,25,87,207,47,3,61
51,Felt Good,Golemm,chill breakcore,2021,2024‑08‑29,133,95,58,-7,11,24,130,0,5,46
52,Wrath (From “Call of Duty: Black Ops Cold War - Mauer der Toten”),Brian Tuey,video game music,2023,2024‑08‑29,120,87,61,-5,12,49,233,0,3,24
53,Hajnal,Venetian Snares,braindance,2005,2024‑08‑27,174,77,35,-5,12,22,466,51,13,30
54,SUN OMAA P0RNOA,VALLU,,2023,2024‑08‑25,160,65,44,-10,13,20,123,1,4,11
55,Dream,Dorei The Maid,maidcore,2024,2024‑08‑22,110,71,46,-7,13,11,219,5,4,10
56,HOT TO GO!,Chappell Roan,indie pop,2023,2024‑08‑21,140,76,74,-5,31,96,185,2,4,90
57,Cigarettes out the Window,TV Girl,pov: indie,2016,2024‑08‑14,114,66,63,-6,17,59,199,12,3,84
58,"Irgendwie, irgendwo, irgendwann - Live 1998 / Short Edit",Nena,german pop,2023,2024‑08‑14,106,90,53,-5,35,54,235,0,3,27
59,Club Killer,Crossfire,,2021,2024‑08‑11,120,52,87,-10,9,52,184,4,20,0
60,Mutanever,Acrnym,breakcore,2021,2024‑08‑11,173,99,46,-4,34,35,207,0,12,11
